id;image_url;image_type;description;is_primary;uploaded_at;vehicle_id
1;duffel deficient authentic;outbid;a confute finally;true;2025-09-13T17:12:43;1
2;now;cap;within;true;2025-09-14T14:02:10;2
3;really mmm;buttery up;complete;false;2025-09-14T01:32:14;3
4;aw fooey aw;heavily;lost;true;2025-09-14T04:27:17;4
5;ah oof;perfection oddly lightly;yet honored;false;2025-09-14T12:43:59;5
6;ick oof aw;marvelous;um;false;2025-09-14T14:05:47;6
7;dicker;because every;spectacles;true;2025-09-14T03:10:54;7
8;pushy;abnormally or ouch;decision unto;true;2025-09-14T08:34:34;8
9;zowie at accompany;whup while;but;true;2025-09-14T15:03:02;9
10;impossible;gadzooks among;productive;false;2025-09-14T06:50:47;10
